"track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genero","playlist_subgenero","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"5mui57Zy4YCqpwVJANzkRp","Shooters Inside My Crib","Quavo",63,"5Bf5SKXs59LKbSJurev0W3","Shooters Inside My Crib","2022-01-28","Trap 2022 😈🔥💯","68PbMiU12ssvm5UAHsqqOi","rap","trap",0.764,0.644,1,-6.505,1,0.0301,0.403,0.000205,0.137,0.842,131.946,147273
"5mVcyopMGY8dSpN1ZyaBUD","Me Matas","R.K.M & Ken-Y",64,"7CpmPDrPfeDnR4ykfM7OYE","Masterpiece: Nuestra Obra Maestra","2016-11-04","Reggaeton Mix","37i9dQZF1EQmg9rwHdCwFW","latin","reggaeton",0.775,0.744,7,-5.912,1,0.0916,0.0567,0,0.392,0.581,92.98,196360
"5MxNLUsfh7uzROypsoO5qe","Dream On","Aerosmith",80,"19lEZSnCCbVEkKchoPQWDZ","Aerosmith","1973-01-05","Rock Classics","37i9dQZF1DWXRqgorJj26U","rock","classic rock",0.307,0.433,1,-10.057,1,0.029,0.388,0.0000908,0.332,0.224,160.9,266960
"5Myb8S90Wg0yLec5kmrIGJ","Amor A Primera Vista","Los Ángeles Azules",58,"6lWHI43OEAIWn0gfMxwvZE","De Buenos Aires Para El Mundo","2020-08-28","Verano Tropical","37i9dQZF1DX7OHJr8lBfqY","latin","tropical",0.678,0.821,0,-6.017,1,0.0672,0.228,0.0000479,0.147,0.96,170.164,221347
"5MYFw4T2gy52pOGBN4EYHS","Stay Fly","Three 6 Mafia",69,"0kTLdP4XPeJGsbr2L8ikyF","Most Known Unknown (Explicit)","2005-09-27","2000s Hip-Hop Retrogamer","5dBbja1fYohcz7JUXJiyhM","rap","hip hop",0.789,0.881,11,-5.758,1,0.0331,0.109,0,0.355,0.647,133.299,236600
"5MYsvAONqcsIVOwu2HTQ3p","Faith","Limp Bizkit",63,"3I34EprFC0rlAO4pKNeX1t","Three Dollar Bill, Y'all $","1997-01-01","90s Hard Rock Essentials","7e24caxoLF5J6tFLeJaWNh","rock","hard rock",0.428,0.781,1,-6.823,0,0.281,0.0675,0.000781,0.615,0.709,93.244,146480
"5mZusOaQxajbjxIVYvWiyg","Pusher","Alexander",41,"2jAC661DBaOm7th7krsinS","Pusher","2021-10-22","TRAP WORKOUT / AGGRESSIVE BASS","3i27pZJXTon1DDWfuMu3p9","rap","trap",0.57,0.916,11,-6.314,1,0.0761,0.00462,0.16,0.0929,0.151,140.016,135616
"5N0lcnJTtKj4wNDvurHige","True To Myself","Ziggy Marley",64,"62Ot058LfUzRFxbramAggQ","Dragonfly","2003-03-31","Island Vibes 🏝️","4B2lrMRvAnzWYeFGchNEGC","latin","tropical",0.88,0.564,1,-6.431,1,0.0498,0.0786,0,0.0565,0.83,99.019,225600
"5n2L1tpDwyYKQmB555rHzN","Hello, Hello","Mari Ferrari",0,"75ECdP8yF82N6RLf7q2ijf","Hello, Hello","2016-05-20","TROPICAL HOUSE CLASSICS","5WTdHhrKAxeUUDgnKG2Jcj","latin","tropical",0.694,0.544,5,-10.274,1,0.0332,0.0429,0.0000236,0.213,0.539,120.004,170388
"5N672z43ZiJfvgDwTaCxI0","Todavía Te Espero","Luis Figueroa",52,"3dwEfKKT8IzLbeUlYLeND3","Todavía Te Espero","2022-03-24","Tropical Hits","37i9dQZF1DWYey22ryYM8U","latin","tropical",0.644,0.899,0,-3.672,1,0.0493,0.403,0.00000124,0.111,0.594,91.968,192064
"5n88rjkUNyv2mokNkDeOqa","Disconnect from the Matrix","Shiraz Lane",36,"16WsVVurX2OsZGRLhvcAtM","Disconnect from the Matrix","2022-05-27","Hard Rock","37i9dQZF1DX1X7WV84927n","rock","hard rock",0.37,0.92,11,-6.443,1,0.0426,0.0000301,0.105,0.102,0.308,99.737,276828
"5n8Aro6j1bEGIy7Tpo7FV7","Fuck Tha Police","N.W.A.",71,"0Y7qkJVZ06tS2GUCDptzyW","Straight Outta Compton","1988-08-08","Hip Hop Mix","37i9dQZF1EQnqst5TRi17F","rap","hip hop",0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691,345717
