"","rbd","media_mate","median_mate","media_leng","median_leng","porc_fem","nom_rbd","latitud","longitud","cod_com_rbd","nom_com_rbd","pago_matricula"
"360",9889,208.832592010498,209.309997558594,190.956604291808,185.259994506836,62.962962962963,"LICEO REINO DE DINAMARCA",-33.50718521,-70.78259673,13119,"MAIPÚ","GRATUITO"
"361",9896,219.169120788574,223.050003051758,213.032915274302,201.840003967285,40,"LICEO ALCALDE GONZALO PEREZ LLONA",-33.51075376,-70.72421283,13119,"MAIPÚ","GRATUITO"
"362",9897,263.568988043047,269.470001220703,215.525823775836,209.910003662109,40.3076923076923,"LICEO POLITECNICO PARTICULAR HANNOVER",-33.4994248,-70.74433865,13119,"MAIPÚ","GRATUITO"
"363",9900,218.211299629211,219.360000610352,211.866938999721,208.774993896484,50.8695652173913,"COLEGIO BICENTENARIO DE EXCELENCIA POLITECNICO ALEMAN ALBERT EINSTEIN",-33.49711154,-70.71937341,13102,"CERRILLOS","GRATUITO"
"364",9903,309.827775912815,314.94499206543,277.602092476778,286.25,47.3684210526316,"COLEGIO LOS CONQUISTADORES",-33.50895698,-70.72668105,13102,"CERRILLOS","$1.000 A $10.000"
"365",9905,344.578997993469,343.279998779297,318.792124557495,328.184997558594,60,"LICEO SAN PEDRO POVEDA",-33.49613737,-70.76092139,13119,"MAIPÚ","$1.000 A $10.000"
"366",9906,251.124607983757,250.925003051758,238.392199859619,235.915000915527,52.4590163934426,"ESCUELA PARTICULAR INSTITUTO AMERICA",-33.50788835,-70.7650068,13119,"MAIPÚ","GRATUITO"
"367",9907,337.814391996802,340.260009765625,311.526960155632,315.959991455078,64.7727272727273,"COLEGIO POLIVALENTE CAMILO HENRIQUEZ",-33.51493608,-70.76275292,13119,"MAIPÚ","GRATUITO"
"368",9909,246.050797508653,246.789993286133,230.18575521957,226.444999694824,53.7444933920705,"CENTRO EDUCACIONAL PIAMARTINO CAROLINA LLONA DE CUEVAS",-33.5151854,-70.7642677,13119,"MAIPÚ","GRATUITO"
"369",9910,271.456112331814,268.755004882812,265.53971383231,273.029998779297,72.5,"COLEGIO PARTICULAR SAN FELIX",-33.50031891,-70.75048348,13119,"MAIPÚ","GRATUITO"
